split,idx,image_name,psnr,l1
train,61,000071,24.330093383789062,0.031936999410390854
train,62,000072,25.911972045898438,0.02930227480828762
train,63,000074,25.716053009033203,0.032246481627225876
train,64,000075,25.59000015258789,0.03241139277815819
train,65,000076,26.564382553100586,0.029364079236984253
train,66,000077,26.755462646484375,0.02697318233549595
train,67,000078,26.21918296813965,0.026459913700819016
train,68,000079,25.941099166870117,0.027110354974865913
train,69,000080,26.431514739990234,0.02752712182700634
train,70,000082,26.428462982177734,0.028355460613965988
train,71,000083,25.563209533691406,0.03102603182196617
train,72,000084,25.85601806640625,0.02833164855837822
train,73,000085,24.95067596435547,0.03147013485431671
train,74,000086,24.30452537536621,0.032061733305454254
train,75,000087,25.25240707397461,0.030348479747772217
train,76,000088,23.694194793701172,0.03430968150496483
train,77,000090,25.24908447265625,0.028389830142259598
train,78,000091,24.287960052490234,0.034114640206098557
train,79,000092,24.170475006103516,0.03368623927235603
train,80,000093,23.49495506286621,0.03686480224132538
train,81,000094,24.31203269958496,0.03353934735059738
train,82,000095,24.11180877685547,0.03513135761022568
train,83,000096,24.326522827148438,0.0342370867729187
train,84,000098,23.07964324951172,0.03709067776799202
train,85,000099,24.131790161132812,0.03377268463373184
train,86,000100,24.57654571533203,0.03241496905684471
train,87,000101,24.740087509155273,0.032342445105314255
train,88,000102,24.58748435974121,0.03134499490261078
train,89,000103,24.311519622802734,0.03091391734778881
train,90,000104,24.871288299560547,0.028289228677749634
train,91,000106,25.85706329345703,0.026527825742959976
train,92,000107,23.131649017333984,0.03619259223341942
train,93,000108,24.897443771362305,0.03157031908631325
train,94,000109,24.425016403198242,0.0342751070857048
train,95,000110,24.968578338623047,0.03205345571041107
train,96,000111,23.965810775756836,0.035448458045721054
train,97,000112,24.410030364990234,0.03429106995463371
train,98,000114,24.525753021240234,0.03347493335604668
train,99,000115,24.748563766479492,0.032937854528427124
train,100,000116,24.338964462280273,0.0352681502699852
train,101,000117,24.00680923461914,0.035643599927425385
train,102,000118,23.73798179626465,0.037389665842056274
train,103,000119,23.645193099975586,0.03713554888963699
train,104,000120,24.009252548217773,0.03640702739357948
train,105,000122,23.904537200927734,0.036937180906534195
train,106,000123,24.526657104492188,0.03419499099254608
train,107,000124,25.97320556640625,0.028654495254158974
train,108,000125,26.241138458251953,0.028874048963189125
train,109,000126,25.667028427124023,0.03324609249830246
train,110,000127,25.481670379638672,0.03383125364780426
train,111,000128,24.994930267333984,0.034961432218551636
train,112,000130,24.1583309173584,0.039785053580999374
train,113,000131,24.595367431640625,0.03829242289066315
train,114,000132,25.62678337097168,0.03402288630604744
train,115,000133,26.398395538330078,0.02980204112827778
train,116,000134,26.527793884277344,0.028250837698578835
train,117,000135,26.467266082763672,0.02791811153292656
train,118,000136,26.964004516601562,0.02543075568974018
